name,category,city,state,country
Shell PLC,Energy,London,Greater London,UK
HSBC Holdings,Finance,London,Greater London,UK
Unilever,Consumer Goods,London,Greater London,UK
AstraZeneca,Pharmaceuticals,London,Greater London,UK
Tesco PLC,Retail,Welwyn Garden City,Hertfordshire,UK
BP PLC,Energy,London,Greater London,UK
Deliveroo,Technology,London,Greater London,UK
Wise,Fintech,London,Greater London,UK
Grafana Labs,Technology,London,Greater London,UK
BridgeU,EdTech,London,Greater London,UK
