name,category,city,state,country
Tata Consultancy Services,Technology,Mumbai,Maharashtra,India
Reliance Industries,Energy,Mumbai,Maharashtra,India
Infosys,Technology,Bengaluru,Karnataka,India
HDFC Bank,Finance,Mumbai,Maharashtra,India
Zomato,Technology,Gurugram,Haryana,India
