name,category,city,state,country
Toyota,Automotive,Toyota City,Aichi,Japan
Sony,Technology,Minato City,Tokyo,Japan
Nintendo,Entertainment,Kyoto,Kyoto,Japan
SoftBank,Finance,Minato City,Tokyo,Japan
Keyence,Automation,Osaka,Osaka,Japan
