name,category,city,state,country
Eni S.p.A.,Energy,Rome,Lazio,Italy
Ferrari,Automotive,Maranello,Emilia-Romagna,Italy
Enel Group,Energy,Rome,Lazio,Italy
Prada Group,Luxury Goods,Milan,Lombardy,Italy
Leonardo S.p.A.,Aerospace,Rome,Lazio,Italy
Bending Spoons,Technology,Milan,Lombardy,Italy
